word,synonyms,Kannada,English,Hindi
सुपर्वन्,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
सुमनस्,मालती सुमनस् जाति,ಜಾಜಿಗಿಡ,The large flowered jasmine (Jasminum grandiflorum),चमेली
त्रिदिवेश,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
दिवौकस्,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
आदितेय,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
दिविषद्,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
लेख,लिपिकर लिपिकार अक्षरचण अक्षरचञ्चु लेखक,ಬರೆಹದಲ್ಲಿ ಸಮರ್ಥನು,"Scribe, writer, clerk",लेखन कार्य करने वाले
अदितिनन्दन,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
आदित्य,सूर्य सूर आर्यमन् आदित्य द्वादशात्मन् दिवाकर भास्कर अहस्कर ब्रध्न प्रभाकर विभाकर भास्वत् विवस्वत् सप्ताश्व हरिदश्व उष्णरिश्म विकर्तन् अर्क मार्तण्ड मिहिर अरुण पूषन् द्युमणि तरणि मित्र चित्रभानु विरोचन विभावसु ग्रहपति त्विषाम्पति अहर्पति भानु,ಸೂರ್ಯ,Surya (the sun),सूर्य
ऋभु,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
अस्वप्न,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
अमर्त्य,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
अमृतान्धस्,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
क्रतुभुज्,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
गीर्वाण,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
दानवारि,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
वृन्दारक,बाढव्य आयत बहु गुरु वामन वृन्दारक,None,None,None
दैवत,देव अमर निर्जर त्रिदश विबुध सुर सुपर्वन् सुमनस् त्रिदिवेश दिवौकस् आदितेय दिविषद् लेख अदितिनन्दन आदित्य ऋभु अस्वप्न अमर्त्य अमृतान्धस् बहिर्मुख क्रतुभुज् गीर्वाण दानवारि वृन्दारक दैवत देवता,ದೇವತೆಗಳು,Demigods,देवता
देवता,वेणी गरागरी देवताड जीमूत,ದೇವತಾಳ ವೃಕ್ಷ,Kuskus or lemon grass (Andropogon),देवताल
विश्व,विश्वा विषा प्रतिविषा अतिविषा उपविषा अरुणा शृङ्गी महौषध,ಅತಿಬಜೆ,"Betuline, a resinous substance obtained from the birch Betula",अतीस
वसु,अर्काह्व वसुक आस्फोट गणरूप विकीरण मन्दार अर्कपर्ण,ಎಕ್ಕದ ಗಿಡ,The plant Asclepias gigantea,आक (मदार)
तुषित,तुषित,ತುಷಿತರು. ಗಣದೇವತೆಗಳು,Celestial attendents,तुषित. गणदेवताओं
अनिल,वायु श्वसन स्पर्शन मातरिश्वन् सदागति पृषदश्व गन्धवह गन्धवाह अनिल आशुग समीर मारुत मरुत् जगत्प्राण समीरण नभस्वत् वात पवन पवमान प्रभञ्जन प्रकम्पन अतिबल,ವಾಯು,Vayu (wind),वायु
महाराजिक,महाराजिक,ಮಹಾರಾಜಿಕ. ಗಣದೇವತೆಗಳು,Celestial attendants,महाराजिक. गणदेवताओं
साध्य,साध्य,ಸಾಧ್ಯರು. ಗಣದೇವತೆಗಳು,Celestial attendants,साध्य. गणदेवताओं
रुद्र,उमा कात्यायनी गौरी काली हैमवती ईश्वरी शिवा भवानी रुद्राणी शर्वाणि सर्वमङ्गला अपर्णा पार्वती दुर्गा मृडानी चण्डिका अम्बिका आर्या दाक्षायणी गिरिजा मेनकात्मजा,ಶಿವನಪತ್ನಿಯಾದ ಪಾರ್ವತೀದೇವಿ,"Parvathi, Shiva's wife",पार्वतीदेवि
विद्याधर,विद्याधर,ದೇವತೆಗಳೇ ಉತ್ಪತ್ತಿ ಸ್ಥಾನವಾಗಿ ಉಳ್ಳವರು,Offspring of celestials,विद्याधर
अप्सरस्,अप्सरस् स्वर्वेश्या,ಅಪ್ಸರಸ್ಸು ದೇವವೇಶ್ಯೆ.,"Apsaras, celestial courtesans",अप्सरसु
यक्ष,यक्षधूप सर्जरस राल सर्वरस बहुरूप,ಸಜ್ಜರಸ,"A fragrant resin, perhaps of the sal tree (shorea robusta)","राल, धूप"
